Rating,Win,Loss,Draw,Age,KnockOuts (%),Height (cm),Reach (cm),Years Pro,"SouthPaw 1: yes, 0: no",Win Rate
2,19,1,0,32,70,183,185,9.126027397,0,95
2,14,8,0,34,40.91,188,199,11.4630137,0,63.63636364
2,9,0,1,30,70,188,196,3.657534247,0,90
2,8,1,0,30,66.67,204,204,4.753424658,0,88.88888889
2,9,0,0,26,55.56,201,218,1.375342466,0,100
2,14,0,0,32,92.86,203,203,4.030136986,0,100
2,6,0,0,24,66.67,201,201,3.15890411,0,100
2,18,1,0,33,89.47,191,189,8.797260274,0,94.73684211
2,9,1,1,30,72.73,197,917,4.520547945,0,81.81818182
2,8,0,0,33,75,198,198,1.490410959,0,100
2,3,0,0,27,66.67,193,193,1.087671233,1,100
2,5,0,0,23,40,195,195,2.084931507,1,100
2,12,1,0,32,69.23,184,185,5.328767123,0,92.30769231
2,5,1,1,27,42.86,195,195,7.589041096,0,71.42857143
2,7,0,0,23,85.71,193,193,1.58630137,0,100
2,36,6,1,45,62.79,202,202,17.56438356,0,83.72093023
2,21,0,1,36,81.82,180,180,8.728767123,0,95.45454545
2,18,1,0,27,68.42,191,191,5.728767123,0,94.73684211
2,25,5,0,37,80,189,191,11.34794521,0,83.33333333
2,35,21,2,43,32.76,191,298,19.8109589,0,60.34482759
2,5,0,0,27,60,201,201,0.7808219178,1,100
2,12,1,0,35,69.23,188,188,5.556164384,0,92.30769231
2,12,0,0,27,66.67,198,198,4.347945205,1,100
2,9,1,0,23,50,187,187,3.254794521,0,90
2,5,0,0,27,40,198,198,0.8383561644,0,100
2,20,1,2,32,78.26,191,191,8.145205479,0,86.95652174
2,17,0,0,31,77.78,196,196,7.969863014,0,100
2,13,0,0,32,61.54,191,185,3.446575342,0,100
2,27,1,0,28,67.86,197,197,9.123287671,0,96.42857143
2,7,2,0,25,66.67,193,203,2.219178082,1,77.77777778
2,1,0,0,23,100,186,186,0.7643835616,1,100
2,9,0,0,23,88.89,195,195,3.238356164,0,100
2,25,6,1,37,40.63,189,291,16.62191781,1,78.125
2,4,0,0,31,100,187,187,3.123287671,0,100
2,12,2,0,28,64.29,198,198,5.326027397,0,85.71428571
2,8,1,0,34,33.33,192,188,3.621917808,0,88.88888889
2,12,2,1,27,46.67,185,185,5.520547945,1,80
2,3,0,0,31,100,198,198,0.3397260274,0,100
2,7,0,0,28,85.71,193,293,2.068493151,0,100
2,4,0,0,27,100,201,192,1.61369863,1,100
2,13,2,2,42,35.29,193,193,10.65205479,0,76.47058824
2,27,6,1,36,55.88,192,201,15.29041096,0,79.41176471
2,20,8,1,38,34.48,175,175,16.6630137,0,68.96551724
2,12,0,0,26,25,168,168,4.753424658,0,100
2,11,8,1,31,35,191,191,9.583561644,0,55
1.5,8,1,1,32,30,183,189,3.254794521,0,80
1.5,4,4,2,33,40,196,200,5.021917808,0,40
1.5,6,1,0,28,57.14,195,195,2.180821918,0,85.71428571
1.5,5,0,0,32,100,201,201,1.643835616,0,100
1.5,13,2,0,33,33.33,186,186,3.819178082,1,86.66666667
1.5,6,0,1,23,85.71,193,193,2.24109589,0,85.71428571
1.5,34,3,0,38,67.57,196,196,13.26575342,0,91.89189189
1.5,4,0,0,30,100,190,190,3.202739726,0,100
1.5,34,6,0,39,48.78,184,186,16.12876712,0,85
1.5,4,0,0,23,100,188,188,0.3808219178,1,100
1.5,11,3,2,39,18.75,188,191,6.975342466,1,68.75
1.5,10,0,0,33,50,200,200,2.852054795,0,100
1.5,11,1,0,31,91.67,196,196,6.57260274,0,91.66666667
1.5,17,4,0,24,61.9,192,192,5.61369863,0,80.95238095
1.5,23,5,0,36,57.14,197,196,12.65479452,0,82.14285714
1.5,10,0,0,33,80,193,193,1.528767123,0,100
1.5,8,1,2,28,63.64,180,180,4.693150685,0,72.72727273
1.5,7,1,0,24,75,178,178,2.37260274,0,87.5
1.5,30,13,0,37,34.88,187,187,17.17808219,0,69.76744186
1.5,20,4,0,36,66.67,196,196,14.62739726,0,83.33333333
1.5,19,4,1,36,66.67,183,188,10.89041096,0,79.16666667
1.5,16,1,0,31,88.24,182,182,5.421917808,0,94.11764706
1.5,26,6,1,41,39.39,191,291,21.32328767,0,78.78787879
1.5,12,0,0,27,83.33,195,195,8.030136986,1,100
1.5,9,2,1,31,58.33,192,192,8.065753425,0,75
1.5,8,0,0,27,62.5,191,191,1.528767123,0,100
1.5,5,1,0,30,50,199,199,8.991780822,0,83.33333333
1.5,10,12,0,38,27.27,197,197,9.449315068,0,45.45454545
1.5,6,1,0,27,42.86,198,202,3.24109589,0,85.71428571
1.5,18,4,0,34,54.55,198,198,9.41369863,0,81.81818182
1.5,23,3,0,32,81.48,184,184,8.547945205,1,88.46153846
1.5,13,0,0,30,100,198,198,6.095890411,0,100
1.5,5,5,2,32,33.33,177,177,5.098630137,0,41.66666667
1.5,9,6,0,29,33.33,186,186,5.520547945,0,60
1.5,6,4,1,34,36.36,188,198,6.824657534,0,54.54545455
1.5,6,1,0,38,28.57,193,193,3.052054795,1,85.71428571
1.5,9,2,0,38,45.45,192,192,5.443835616,0,81.81818182
1.5,10,1,0,28,72.73,191,191,4.580821918,0,90.90909091
1.5,7,0,0,27,85.71,193,193,1.432876712,1,100
1.5,28,55,9,33,21.74,191,191,11.21369863,0,30.43478261
1.5,11,10,0,29,28.57,192,192,5.750684932,0,52.38095238
1.5,23,11,0,36,44.12,191,195,15.22465753,0,67.64705882
1.5,20,2,0,34,86.36,201,201,11.99726027,0,90.90909091
1.5,16,0,1,30,82.35,188,191,11.17808219,0,94.11764706
1.5,8,3,1,42,50,194,194,5.367123288,0,66.66666667
1.5,3,4,0,41,42.86,183,183,3.065753425,1,42.85714286
1.5,15,12,0,40,37.04,197,198,5.767123288,0,55.55555556
1.5,18,2,1,38,71.43,190,190,7.553424658,0,85.71428571
1.5,9,11,1,31,28.57,185,185,6.860273973,0,42.85714286
1.5,13,3,0,38,31.25,188,188,14.57260274,0,81.25
1.5,5,1,0,26,66.67,190,190,1.221917808,0,83.33333333
1.5,21,3,0,29,58.33,195,195,9.279452055,0,87.5
1.5,28,9,1,43,57.89,185,185,16.56712329,0,73.68421053
